NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun_net,norm-lat-comp,quant_model,hw_precision_net_prun
RN50,Ultra96-DPU,INT8,,4,139.30700000000002,28.1512,28.6587,181.46826544,184.73971194,73.3,91.4,2.5,6.8,8.3112,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.0198468464617971,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,5,174.54,28.1485,28.7747,181.4508607,185.48747114,73.3,91.4,2.5,6.8,8.31911,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.0248664358678463,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,6,209.512,28.0701,28.7418,180.94547862,185.27539116,73.3,91.4,2.5,6.8,8.32475,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.029848841019503924,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,7,244.859,28.1002,28.7188,181.13950924,185.12712856,73.3,91.4,2.5,6.8,8.32831,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.03488467182402302,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,8,281.15,28.1339,28.7024,181.35674618,185.02141088,73.3,91.4,2.5,6.8,8.33277,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.040054992805345406,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,1,26.9074,28.4839,37.2458,106.869314088,139.743261936,69.49,91.0,2.5,6.8,8.14657,,25.0,l3,Ultra96-DPU_INT8_25%_RN50,0.003833454431479819,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_25.0
RN50,Ultra96-DPU,INT8,,2,50.4831,37.2738,39.62,139.84831569600001,148.6510704,69.49,91.0,2.5,6.8,8.27812,,25.0,l3,Ultra96-DPU_INT8_25%_RN50,0.007192246869256742,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_25.0
RN50,Ultra96-DPU,INT8,,3,77.4458,37.3879,38.6727,140.27640976799998,145.096876584,69.49,91.0,2.5,6.8,8.2748,,25.0,l3,Ultra96-DPU_INT8_25%_RN50,0.011033579803678535,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_25.0
RN50,Ultra96-DPU,INT8,,4,103.928,37.302,38.4609,139.95411984,144.302219928,69.49,91.0,2.5,6.8,8.28515,,25.0,l3,Ultra96-DPU_INT8_25%_RN50,0.014806456668233818,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_25.0
RN50,Ultra96-DPU,INT8,,5,130.709,37.3153,38.6069,140.004020376,144.850000248,69.49,91.0,2.5,6.8,8.30613,,25.0,l3,Ultra96-DPU_INT8_25%_RN50,0.01862190309298913,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_25.0
